Element,type
Tl,Metal
Pb,Metal
Sr,Metal
Ca,Metal
Y,Metal
Cu,Metal
O,No
Ba,Metal
La,Metal
F,No
Bi,Metal
Ce,Metal
Fe,Metal
C,No
Li,Metal
Si,No
Hg,Metal
V,Metal
Cr,Metal
Re,Metal
Nd,Metal
Gd,Metal
Yb,Metal
Sm,Metal
Eu,Metal
Dy,Metal
Ho,Metal
Be,Metal
Er,Metal
Al,Metal
H,No
Co,Metal
Pr,Metal
Cs,Metal
Rb,Metal
Cd,Metal
Ga,Metal
K,Metal
Na,Metal
Ni,Metal
Tm,Metal
Lu,Metal
Zr,Metal
S,No
Br,No
Sc,Metal
Tb,Metal
Mn,Metal
W,Metal
Ag,Metal
Sn,Metal
In,Metal
Ge,Metal
Zn,Metal
P,No
Ru,Metal
B,No
I,No
Hf,Metal
Nb,Metal
Pt,Metal
As,No
Se,No
Pd,Metal
Ta,Metal
Mo,Metal
Tc,Metal
Rh,Metal
Os,Metal
Ti,Metal
Ir,Metal
N,No
Te,No
Sb,Metal
Au,Metal
Th,Metal
Pu,Metal
Cl,No
Mg,Metal
U,Metal
Np,Metal
