params,mean_mse,mse,r2,accuracy,fit_time,mean_abs_mse,mean_rmse,rmse,accuracy,r2,fit_time
"{'criterion': 'friedman_mse', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 300}",-51.38924864,39.21813241,0.951901731,81.9047619,227.3964274,51.38924864,7.1686,6.2624,81.90%,0.9519,227.4
"{'criterion': 'friedman_mse', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 500}",-51.43964848,38.99476369,0.952175676,81.85714286,379.1026666,51.43964848,7.1721,6.2446,81.86%,0.9522,379.1
"{'criterion': 'squared_error', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 500}",-51.4698793,38.91327534,0.952275616,81.71428571,380.6076169,51.4698793,7.1743,6.2381,81.71%,0.9523,380.61
"{'criterion': 'friedman_mse', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 400}",-51.47305078,38.86872876,0.952330249,81.85714286,303.4403477,51.47305078,7.1745,6.2345,81.86%,0.9523,303.44
"{'criterion': 'squared_error', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 400}",-51.49836239,39.08979112,0.952059132,81.9047619,305.105711,51.49836239,7.1762,6.2522,81.90%,0.9521,305.11
"{'criterion': 'squared_error', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 300}",-51.53664875,39.09532255,0.952052348,81.76190476,228.6073325,51.53664875,7.1789,6.2526,81.76%,0.9521,228.61
"{'criterion': 'friedman_mse', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 200}",-51.54555354,39.04818846,0.952110155,81.95238095,151.4719186,51.54555354,7.1795,6.2489,81.95%,0.9521,151.47
"{'criterion': 'squared_error', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 200}",-51.54753435,39.21451856,0.951906163,81.66666667,152.3054836,51.54753435,7.1797,6.2621,81.67%,0.9519,152.31
"{'criterion': 'squared_error', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100}",-51.6819796,39.70095263,0.951309586,81.57142857,76.10068083,51.6819796,7.189,6.3009,81.57%,0.9513,76.1
"{'criterion': 'friedman_mse', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100}",-51.77995947,39.59343896,0.951441444,81.61904762,75.590137,51.77995947,7.1958,6.2923,81.62%,0.9514,75.59
"{'criterion': 'squared_error', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 400}",-52.70092882,42.16414652,0.948288652,80.0952381,289.6132603,52.70092882,7.2595,6.4934,80.10%,0.9483,289.61
"{'criterion': 'friedman_mse', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 500}",-52.70849854,39.72107424,0.951284908,83,412.381443,52.70849854,7.2601,6.3025,83.00%,0.9513,412.38
"{'criterion': 'friedman_mse', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 400}",-52.71794538,39.67643464,0.951339655,83.04761905,332.5142336,52.71794538,7.2607,6.2989,83.05%,0.9513,332.51
"{'criterion': 'squared_error', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 500}",-52.7244356,39.81230405,0.951173021,82.95238095,417.6794827,52.7244356,7.2612,6.3097,82.95%,0.9512,417.68
"{'criterion': 'squared_error', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 300}",-52.73223387,39.95610207,0.950996663,82.76190476,255.5948963,52.73223387,7.2617,6.3211,82.76%,0.951,255.59
"{'criterion': 'squared_error', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 500}",-52.73420573,42.16794638,0.948283992,80.23809524,361.6271343,52.73420573,7.2618,6.4937,80.24%,0.9483,361.63
"{'criterion': 'squared_error', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 400}",-52.76068772,39.80483723,0.951182179,82.9047619,334.0909004,52.76068772,7.2637,6.3091,82.90%,0.9512,334.09
"{'criterion': 'squared_error', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 100}",-52.77703586,42.39789024,0.948001982,80.38095238,72.31455135,52.77703586,7.2648,6.5114,80.38%,0.948,72.31
"{'criterion': 'squared_error', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 300}",-52.78719998,42.28904024,0.948135479,80.14285714,217.3202763,52.78719998,7.2655,6.503,80.14%,0.9481,217.32
"{'criterion': 'squared_error', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 200}",-52.79314066,42.22096566,0.948218968,80.23809524,144.6022835,52.79314066,7.2659,6.4978,80.24%,0.9482,144.6
"{'criterion': 'friedman_mse', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 500}",-52.8010784,42.39422439,0.948006478,80.28571429,360.1112339,52.8010784,7.2664,6.5111,80.29%,0.948,360.11
"{'criterion': 'friedman_mse', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 300}",-52.8047317,39.69942474,0.951311459,82.85714286,248.5030332,52.8047317,7.2667,6.3007,82.86%,0.9513,248.5
"{'criterion': 'friedman_mse', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 400}",-52.84126618,42.35919405,0.94804944,80.0952381,290.1749935,52.84126618,7.2692,6.5084,80.10%,0.948,290.17
"{'criterion': 'squared_error', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",-52.85516623,39.97925539,0.950968267,82.80952381,175.8640234,52.85516623,7.2702,6.3229,82.81%,0.951,175.86
"{'criterion': 'friedman_mse', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",-52.860785,39.8102216,0.951175575,82.9047619,165.538599,52.860785,7.2705,6.3095,82.90%,0.9512,165.54
"{'criterion': 'friedman_mse', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 300}",-52.92391573,42.32786586,0.948087862,80.33333333,218.0464313,52.92391573,7.2749,6.506,80.33%,0.9481,218.05
"{'criterion': 'friedman_mse', 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",-53.01787459,43.80680411,0.946274049,80.19047619,71.55464816,53.01787459,7.2813,6.6187,80.19%,0.9463,71.55
"{'criterion': 'friedman_mse', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 200}",-53.02043156,42.35909822,0.948049558,80.47619048,144.3464911,53.02043156,7.2815,6.5084,80.48%,0.948,144.35
"{'criterion': 'friedman_mse', 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 200}",-53.05512815,43.53224943,0.946610771,80.33333333,143.1596005,53.05512815,7.2839,6.5979,80.33%,0.9466,143.16
"{'criterion': 'friedman_mse', 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 300}",-53.05673126,43.4848718,0.946668876,80.57142857,214.7904525,53.05673126,7.284,6.5943,80.57%,0.9467,214.79
"{'criterion': 'friedman_mse', 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 400}",-53.06045356,43.55443852,0.946583557,80.33333333,287.536746,53.06045356,7.2843,6.5996,80.33%,0.9466,287.54
"{'criterion': 'friedman_mse', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",-53.06303498,40.2980141,0.950577332,82.80952381,82.29021144,53.06303498,7.2844,6.3481,82.81%,0.9506,82.29
"{'criterion': 'squared_error', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",-53.07253235,40.15074289,0.95075795,82.76190476,86.67081642,53.07253235,7.2851,6.3365,82.76%,0.9508,86.67
"{'criterion': 'friedman_mse', 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 500}",-53.07916544,43.48642418,0.946666972,80.57142857,356.6397643,53.07916544,7.2855,6.5944,80.57%,0.9467,356.64
