params,mean_mse,mse,r2,accuracy,fit_time,mean_abs_mse,mean_rmse,rmse,accuracy,r2
"{'criterion': 'friedman_mse', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 300}",-58.50485932,57.22778096,0.928928343,80.11431293,228.0939715,58.50485932,7.6488,7.5649,80.11%,0.9289
"{'criterion': 'squared_error', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 500}",-58.50978852,57.37665253,0.928743458,80.18575851,388.072937,58.50978852,7.6492,7.5747,80.19%,0.9287
"{'criterion': 'squared_error', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 400}",-58.52771318,57.24121363,0.928911661,80.20957371,309.438895,58.52771318,7.6503,7.5658,80.21%,0.9289
"{'criterion': 'squared_error', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 300}",-58.52782046,57.19971041,0.928963204,80.09049774,231.6558876,58.52782046,7.6503,7.563,80.09%,0.929
"{'criterion': 'friedman_mse', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 500}",-58.54187484,57.53076327,0.928552067,80.20957371,382.1919339,58.54187484,7.6513,7.5849,80.21%,0.9286
"{'criterion': 'friedman_mse', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 400}",-58.55546074,57.40146283,0.928712646,80.11431293,304.6752272,58.55546074,7.6522,7.5764,80.11%,0.9287
"{'criterion': 'friedman_mse', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",-58.57641237,57.40608369,0.928706907,80.2572041,152.2588983,58.57641237,7.6535,7.5767,80.26%,0.9287
"{'criterion': 'squared_error', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",-58.62143279,57.33953645,0.928789553,80.30483448,154.8319502,58.62143279,7.6565,7.5723,80.30%,0.9288
"{'criterion': 'friedman_mse', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",-58.88853072,56.82956967,0.929422885,80.04286735,75.72577667,58.88853072,7.6739,7.5385,80.04%,0.9294
"{'criterion': 'squared_error', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 500}",-58.98666802,58.69498662,0.927106208,79.68563944,355.6838651,58.98666802,7.6803,7.6613,79.69%,0.9271
"{'criterion': 'squared_error', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 300}",-59.01783222,58.43406439,0.92743025,79.49511789,214.1111562,59.01783222,7.6823,7.6442,79.50%,0.9274
