elements,formula,Predicted_Tc
In-Sn,In0.506Sn0.494,6.990275
In-Sn,In0.498Sn0.502,6.982875
In-Sn,In0.496Sn0.504,6.969895556
In-Sn,In0.508Sn0.492,6.969008333
In-Sn,In0.508Sn0.492,6.969008333
In-Sn,In0.509Sn0.491,6.965325
In-Sn,In0.509Sn0.491,6.965325
In-Sn,In0.494Sn0.506,6.959995556
In-Sn,In0.512Sn0.488,6.959830556
In-Sn,In0.515Sn0.485,6.954747222
Bi-Sn,Bi0.802Sn0.198,6.950148333
Ga-In-Sn,Ga0.009In0.489Sn0.502,6.944959722
Bi-Sn,Bi0.803Sn0.197,6.938698333
Bi-Sn,Bi0.808Sn0.192,6.926459444
Bi-Sn,Bi0.808Sn0.192,6.926459444
Bi-Sn,Bi0.793Sn0.207,6.868411667
In-Sn-Ag,In0.478Sn0.508Ag0.014,6.818648889
Ga-In-Sn,Ga0.032In0.478Sn0.490,6.812445556
Bi-Sn,Bi0.783Sn0.217,6.806637778
Bi-Sn,Bi0.826Sn0.174,6.800967778
In-Sn-Ag,In0.572Sn0.425Ag0.003,6.775737222
Ga-Bi-Sn,Ga0.051Bi0.790Sn0.159,6.764286026
Ga-In-Sn,Ga0.165In0.498Sn0.337,6.751197756
In-Sn-Sb,In0.583Sn0.412Sb0.005,6.740262222
In-Sn-Cu,In0.476Sn0.493Cu0.031,6.737337778
Bi-Sn,Bi0.835Sn0.165,6.735348333
Bi-Sn,Bi0.838Sn0.162,6.726065
Bi-Sn,Bi0.839Sn0.161,6.722548333
In-Sn-Zn,In0.505Sn0.429Zn0.066,6.720775
Ga-In-Sn,Ga0.032In0.534Sn0.434,6.705727222
In-Sn-Zn,In0.495Sn0.438Zn0.067,6.704433333
Ga-In-Sn,Ga0.054In0.489Sn0.457,6.70255312
In-Sn-Zn,In0.534Sn0.414Zn0.052,6.698155556
In-Sn-Ag,In0.472Sn0.497Ag0.031,6.697295833
Ga-In-Sn,Ga0.040In0.531Sn0.429,6.685041453
In-Sn-Sb,In0.576Sn0.403Sb0.021,6.682557222
In-Sn-Cu,In0.469Sn0.493Cu0.038,6.676680833
In-Sn-Cu,In0.479Sn0.482Cu0.039,6.672068333
Ga-In-Sn,Ga0.278In0.525Sn0.197,6.671369274
In-Sn-Ag,In0.686Sn0.311Ag0.003,6.6671775
Ga-In-Sn,Ga0.066In0.539Sn0.395,6.65566812
Bi-In-Sn,Bi0.776In0.055Sn0.169,6.652946111
Bi-Sn-Cu,Bi0.799Sn0.180Cu0.021,6.651737222
In-Sn-Cu,In0.543Sn0.395Cu0.062,6.651088889
Bi-In-Sn,Bi0.039In0.569Sn0.392,6.641684722
In-Sn-Ag,In0.681Sn0.310Ag0.009,6.634960833
Bi-In-Sn,Bi0.029In0.539Sn0.432,6.631837778
Ga-In-Sn,Ga0.074In0.521Sn0.405,6.627152286
Ga-In-Sn,Ga0.012In0.649Sn0.339,6.624880556
In-Sn-Cu,In0.468Sn0.492Cu0.040,6.624760278
In-Sn-Ag,In0.462Sn0.536Ag0.002,6.620547222
In-Sn-Cu,In0.533Sn0.434Cu0.033,6.605388889
In-Sn-Ag,In0.657Sn0.333Ag0.010,6.603233056
In-Sn-Ag,In0.674Sn0.309Ag0.017,6.602621944
