elements,formula,Predicted_Tc
In-Sn,In0.500Sn0.500,7.005136111
In-Sn,In0.500Sn0.500,7.005136111
In-Sn,In0.500Sn0.500,7.005136111
In-Sn,In0.500Sn0.500,7.005136111
In-Sn,In0.501Sn0.499,7.001169444
In-Sn,In0.501Sn0.499,7.001169444
In-Sn,In0.501Sn0.499,7.001169444
In-Sn,In0.501Sn0.499,7.001169444
In-Sn,In0.501Sn0.499,7.001169444
In-Sn,In0.502Sn0.498,6.997486111
In-Sn-Zn,In0.489Sn0.493Zn0.018,6.972933333
In-Sn-Sb,In0.501Sn0.495Sb0.004,6.972458333
Ga-In-Sn,Ga0.002In0.496Sn0.502,6.969895556
Ga-In-Sn,In0.508Sn0.492,6.969008333
In-Sn-Zn,In0.508Sn0.492,6.969008333
In-Sn-Zn,In0.494Sn0.494Zn0.012,6.964568889
In-Sn-Zn,In0.486Sn0.509Zn0.005,6.96454
In-Sn-Zn,In0.502Sn0.487Zn0.011,6.961715
Bi-Sn,Bi0.801Sn0.199,6.956915
Bi-Sn,Bi0.801Sn0.199,6.956915
Bi-Sn,Bi0.801Sn0.199,6.956915
Ga-In-Sn,Ga0.005In0.491Sn0.504,6.952406667
Ga-In-Sn,Ga0.006In0.491Sn0.503,6.952406667
Bi-Sn,Bi0.802Sn0.198,6.950148333
Bi-Sn,Bi0.800Sn0.200,6.949571667
In-Sn-Ag,In0.514Sn0.483Ag0.003,6.948108333
In-Sn-Cu,In0.485Sn0.502Cu0.013,6.942467778
Bi-Sn,Bi0.804Sn0.196,6.938698333
Bi-Sn,Bi0.804Sn0.196,6.938698333
In-Sn-Cu,In0.501Sn0.492Cu0.007,6.936427778
Bi-Sn,Bi0.806Sn0.194,6.935048333
Bi-Sn,Bi0.805Sn0.195,6.935048333
Bi-Sn,Bi0.805Sn0.195,6.935048333
In-Sn-Zn,In0.479Sn0.499Zn0.022,6.932735
In-Sn-Sb,In0.502Sn0.487Sb0.011,6.924013889
In-Sn-Ag,In0.485Sn0.515,6.915616667
In-Sn-Sb,In0.488Sn0.508Sb0.004,6.915255556
Ga-In-Sn,Ga0.019In0.489Sn0.492,6.913014444
In-Sn-Sb,In0.489Sn0.498Sb0.013,6.911345556
In-Sn-Zn,In0.503Sn0.474Zn0.023,6.911163889
In-Sn-Sb,In0.505Sn0.483Sb0.012,6.910180556
In-Sn-Zn,In0.501Sn0.473Zn0.026,6.900588889
Bi-In-Sn,Bi0.811In0.001Sn0.188,6.895395556
In-Sn-Zn,In0.506Sn0.468Zn0.026,6.882819444
In-Sn-Zn,In0.477Sn0.490Zn0.033,6.871040556
Ga-In-Sn,Ga0.016In0.509Sn0.475,6.870116111
In-Sn-Cu,In0.481Sn0.518Cu0.001,6.863378333
In-Sn-Sb,In0.506Sn0.479Sb0.015,6.859518333
Ga-In-Sn,Ga0.018In0.513Sn0.469,6.854441111
In-Sn-Sb,In0.487Sn0.486Sb0.027,6.853118889
Bi-In-Sn,Bi0.018In0.496Sn0.486,6.852272778
Ga-In-Sn,Ga0.023In0.511Sn0.466,6.846855
Ga-In-Sn,Ga0.030In0.477Sn0.493,6.844081667
Ga-In-Sn,Ga0.031In0.490Sn0.479,6.840585278
In-Sn-Cu,In0.523Sn0.470Cu0.007,6.840363889
In-Sn-Cu,In0.529Sn0.468Cu0.003,6.839575
In-Sn-Cu,In0.480Sn0.498Cu0.022,6.838054444
Bi-In-Sn,Bi0.017In0.481Sn0.502,6.837566667
Bi-In-Sn,Bi0.019In0.491Sn0.490,6.836182222
In-Sn-Cu,In0.510Sn0.474Cu0.016,6.835752778
In-Sn-Ag,In0.492Sn0.485Ag0.023,6.834276111
In-Sn-Ag,In0.492Sn0.484Ag0.024,6.831320556
In-Sn-Cu,In0.439Sn0.495Cu0.066,6.820489444
In-Sn-Cu,In0.516Sn0.470Cu0.014,6.818244444
Bi-In-Sn,Bi0.003In0.534Sn0.463,6.817552778
In-Sn-Sb,In0.521Sn0.466Sb0.013,6.813986111
Ga-Bi-Sn,Ga0.019Bi0.805Sn0.176,6.809381111
In-Sn-Cu,In0.478Sn0.519Cu0.003,6.805122778
In-Sn-Ag,In0.513Sn0.466Ag0.021,6.794894444
In-Sn-Ag,In0.523Sn0.462Ag0.015,6.792777778
In-Sn-Sb,In0.500Sn0.473Sb0.027,6.786117778
