elements,calculated,Predicted_Tc,Elements
Tl-Pb,yes,7.157298388888882,Tl0.009Pb0.991
Tl-Sr,yes,7.212599999999991,Tl0.956Sr0.044
Tl-Ca,yes,19.609116666666612,Tl0.001Ca0.999
Tl-Y,yes,6.795648333333356,Tl0.005Y0.995
Tl-Cu,yes,5.4954288888888865,Tl0.551Cu0.449
Tl-Ba,yes,6.62644645299146,Tl0.317Ba0.683
Tl-La,yes,5.3426794444444425,Tl0.005La0.995
Tl-Bi,yes,6.332208333333341,Tl0.141Bi0.859
Tl-Ce,yes,4.1628022222222265,Tl0.836Ce0.164
Tl-Fe,yes,3.990891666666668,Tl0.207Fe0.793
Tl-Li,yes,11.79166666666662,Tl0.001Li0.999
Tl-Hg,yes,4.136666666666677,Hg1.000
Tl-V,yes,5.1602261111111085,Tl0.678V0.322
Tl-Cr,yes,2.9743011111111075,Tl0.898Cr0.102
Tl-Re,yes,4.312533611111109,Tl0.251Re0.749
Tl-Nd,yes,3.976227286324786,Tl0.320Nd0.680
Tl-Gd,yes,3.435443183760687,Tl0.352Gd0.648
Tl-Yb,yes,2.967178333333331,Tl0.900Yb0.100
Tl-Sm,yes,3.9089650641025644,Tl0.353Sm0.647
Tl-Eu,yes,3.5194222222222233,Tl0.352Eu0.648
Tl-Dy,yes,3.84885777777778,Tl0.320Dy0.680
Tl-Ho,yes,3.636314508547013,Tl0.363Ho0.637
Tl-Be,yes,4.384831111111112,Tl0.380Be0.620
Tl-Er,yes,3.751291517094014,Tl0.346Er0.654
Tl-Al,yes,3.3136474242424225,Tl0.840Al0.160
Tl-Co,yes,2.881274444444442,Tl0.905Co0.095
Tl-Pr,yes,2.65532252136752,Tl0.905Pr0.095
Tl-Cs,yes,3.2458870726495728,Tl0.451Cs0.549
Tl-Rb,yes,3.9037994444444437,Tl0.598Rb0.402
Tl-Cd,yes,3.061091666666662,Tl0.900Cd0.100
Tl-Ga,yes,5.3173449145298965,Tl0.012Ga0.988
Tl-K,yes,4.6959294444444435,Tl0.833K0.167
Tl-Na,yes,3.86817762820513,Tl0.363Na0.637
Tl-Ni,yes,2.6060630555555533,Tl0.898Ni0.102
Tl-Tm,yes,3.879548803418806,Tl0.282Tm0.718
Tl-Lu,yes,4.486509444444437,Tl0.005Lu0.995
Tl-Zr,yes,3.3835763888888892,Tl0.250Zr0.750
Tl-Sc,yes,8.08563611111111,Tl0.001Sc0.999
Tl-Tb,yes,3.3800764529914513,Tl0.362Tb0.638
Tl-Mn,yes,3.065306111111107,Tl0.898Mn0.102
Tl-W,yes,3.4675067307692293,Tl0.494W0.506
Tl-Ag,yes,3.441617777777783,Tl0.901Ag0.099
Tl-Sn,yes,6.879824999999972,Tl0.350Sn0.650
Tl-In,yes,3.718117685185187,Tl0.092In0.908
