elements,calculated,Predicted_Tc,Elements
Tl-Pb,yes,7.186228662202357,Tl0.002Pb0.998
Tl-Sr,yes,4.628026587301587,Tl0.005Sr0.995
Tl-Ca,yes,22.04801640211641,Tl0.056Ca0.944
Tl-Y,yes,7.714976712176708,Tl0.002Y0.998
Tl-Cu,yes,3.029442872811915,Tl0.916Cu0.084
Tl-Ba,yes,4.008609127446628,Tl0.010Ba0.990
Tl-La,yes,5.251402264032259,Tl0.010La0.990
Tl-Bi,yes,6.326975159457849,Tl0.143Bi0.857
Tl-Ce,yes,5.107244368736393,Tl0.721Ce0.279
Tl-Fe,yes,7.210299999999987,Tl0.214Fe0.786
Tl-Li,yes,12.168879303104296,Tl0.009Li0.991
Tl-Hg,yes,4.127503096237098,Tl0.009Hg0.991
Tl-V,yes,6.183001071428577,Tl0.514V0.486
Tl-Cr,yes,3.0505536932773114,Tl0.886Cr0.114
Tl-Re,yes,4.290777850649347,Tl0.215Re0.785
Tl-Nd,yes,3.4291030740740767,Tl0.046Nd0.954
Tl-Gd,yes,3.020331367521369,Tl0.364Gd0.636
Tl-Yb,yes,3.0844056640207076,Tl0.916Yb0.084
Tl-Sm,yes,2.967539238250398,Tl0.916Sm0.084
Tl-Eu,yes,2.9954161613273222,Tl0.917Eu0.083
Tl-Dy,yes,3.0946531553294214,Tl0.913Dy0.087
Tl-Ho,yes,2.9589392294034957,Tl0.902Ho0.098
Tl-Be,yes,4.601277499999995,Tl0.354Be0.646
Tl-Er,yes,2.7928396509488103,Tl0.915Er0.085
Tl-Al,yes,3.175009097176248,Tl0.906Al0.094
Tl-Co,yes,2.596107716846336,Tl0.914Co0.086
Tl-Pr,yes,2.3649701436097437,Tl0.982Pr0.018
Tl-Cs,yes,3.177358975435242,Tl0.899Cs0.101
Tl-Rb,yes,5.827539515669509,Tl0.551Rb0.449
Tl-Cd,yes,3.2307915319011924,Tl0.915Cd0.085
Tl-Ga,yes,5.548036637902428,Tl0.014Ga0.986
Tl-K,yes,4.572210785510779,Tl0.612K0.388
Tl-Na,yes,18.438902619873137,Tl0.929Na0.071
Tl-Ni,yes,2.6277073467164658,Tl0.888Ni0.112
Tl-Tm,yes,3.0946531553294214,Tl0.914Tm0.086
Tl-Lu,yes,4.570700396825397,Tl0.012Lu0.988
Tl-Zr,yes,4.484405555555549,Tl0.252Zr0.748
Tl-Sc,yes,9.081249909812405,Tl0.003Sc0.997
Tl-Tb,yes,2.3432211302515302,Tl0.997Tb0.003
Tl-Mn,yes,2.491478535420546,Tl0.916Mn0.084
Tl-W,yes,3.7060833333333303,Tl0.346W0.654
Tl-Ag,yes,3.849076407563029,Tl0.724Ag0.276
Tl-Sn,yes,5.827188999999986,Tl0.343Sn0.657
Tl-In,yes,3.9097712667887703,Tl0.100In0.900
Tl-Ge,yes,5.283793843193846,Tl0.003Ge0.997
Tl-Zn,yes,2.7108937346944995,Tl0.913Zn0.087
Tl-Ru,yes,2.4846995960407567,Tl0.932Ru0.068
Tl-Hf,yes,3.9086871683534308,Tl0.918Hf0.082
Tl-Nb,yes,9.149116318791744,Tl0.005Nb0.995
Tl-Pt,yes,2.5671629836270236,Tl0.945Pt0.055
Tl-Pd,yes,3.4463207142857164,Tl0.893Pd0.107
Tl-Ta,yes,4.695701933760679,Tl0.344Ta0.656
Tl-Mo,yes,3.3220577777777813,Tl0.685Mo0.315
Tl-Tc,yes,9.975257990620486,Tl0.064Tc0.936
Tl-Rh,yes,2.8323863703703704,Tl0.717Rh0.283
Tl-Os,yes,2.625621848739495,Tl0.799Os0.201
Tl-Ti,yes,3.6939299230769143,Tl0.152Ti0.848
Tl-Ir,yes,2.350311323503924,Tl0.982Ir0.018
Tl-Sb,yes,4.694865000000018,Tl0.364Sb0.636
Tl-Au,yes,3.2116445098746578,Tl0.886Au0.114
Tl-Th,yes,3.621071830136096,Tl0.887Th0.113
Tl-Pu,yes,11.861012238224724,Tl0.048Pu0.952
Tl-Mg,yes,3.0724394516257165,Tl0.893Mg0.107
Tl-U,yes,2.2290139801040727,Tl1.000
Tl-Np,yes,3.317263080993082,Tl0.343Np0.657
Pb-Sr,yes,7.186228662202357,Pb0.998Sr0.002
Pb-Ca,yes,22.04801640211641,Pb0.001Ca0.999
Pb-Y,yes,7.714976712176708,Pb0.004Y0.996
