formula,Predicted_Tc
Ga0.365In0.174Sn0.461,5.787242222222232
Ga0.192In0.550Sn0.258,6.645152222222226
Ga0.492In0.466Sn0.042,5.006273611111119
Ga0.608In0.138Sn0.254,5.425610833333343
Ga0.525In0.337Sn0.138,5.798647222222229
Ga0.455In0.182Sn0.363,5.778377777777787
Ga0.346In0.341Sn0.313,6.352259444444456
Ga0.086In0.077Sn0.837,4.150145277777775
Ga0.121In0.442Sn0.437,6.595935555555558
Ga0.377In0.267Sn0.356,6.048906388888898
Ga0.187In0.189Sn0.624,5.9668802777777925
Ga0.001In0.259Sn0.740,5.1357969444444596
Ga0.043In0.616Sn0.341,6.621700833333338
Ga0.013In0.747Sn0.240,6.188742499999998
Ga0.116In0.077Sn0.807,4.42993111111111
Ga0.648In0.151Sn0.201,5.555974444444455
Ga0.435In0.262Sn0.303,6.107273888888899
Ga0.241In0.578Sn0.181,6.5038755555555605
Ga0.366In0.224Sn0.410,6.033877500000007
Ga0.262In0.409Sn0.329,6.624001944444452
Ga0.522In0.282Sn0.196,5.941843888888897
Ga0.262In0.258Sn0.480,6.165452777777786
Ga0.247In0.185Sn0.568,6.085060555555566
Ga0.562In0.014Sn0.424,4.925619722222225
Ga0.151In0.422Sn0.427,6.648381666666671
Ga0.482In0.338Sn0.180,5.905715000000008
Ga0.301In0.423Sn0.276,6.42103694444445
Ga0.403In0.390Sn0.207,6.372596944444451
Ga0.044In0.700Sn0.256,6.423264722222224
Ga0.256In0.296Sn0.448,6.3662238888888965
Ga0.550In0.019Sn0.431,4.974485000000003
Ga0.281In0.361Sn0.358,6.3077652777777855
Ga0.391In0.107Sn0.502,5.475517777777783
Ga0.309In0.261Sn0.430,6.084795277777787
Ga0.305In0.372Sn0.323,6.389851388888897
Ga0.447In0.334Sn0.219,6.131070000000009
Ga0.416In0.421Sn0.163,6.184473888888895
Ga0.485In0.208Sn0.307,5.875502222222232
Ga0.157In0.607Sn0.236,6.450530833333337
Ga0.544In0.081Sn0.375,5.208558333333336
Ga0.072In0.411Sn0.517,6.2897030555555595
Ga0.128In0.469Sn0.403,6.62999666666667
Ga0.425In0.505Sn0.070,5.525661944444449
Ga0.072In0.548Sn0.380,6.5966150000000034
Ga0.347In0.283Sn0.370,6.167836944444454
Ga0.241In0.403Sn0.356,6.620141944444451
Ga0.454In0.369Sn0.177,6.056681388888897
Ga0.181In0.353Sn0.466,6.530510277777787
Ga0.322In0.307Sn0.371,6.20318861111112
Ga0.092In0.624Sn0.284,6.469272222222226
Ga0.539In0.228Sn0.233,5.838024166666676
Ga0.522In0.068Sn0.410,5.182696944444446
Ga0.407In0.331Sn0.262,6.214229722222233
Ga0.226In0.027Sn0.747,5.063030555555556
Ga0.232In0.486Sn0.282,6.798420833333337
Ga0.214In0.116Sn0.670,5.428804166666677
Ga0.810In0.064Sn0.126,5.789175277777791
Ga0.354In0.393Sn0.253,6.459194166666674
Ga0.452In0.165Sn0.383,5.6972466666666755
Ga0.490In0.052Sn0.458,5.062574444444446
Ga0.370In0.230Sn0.400,6.083113055555563
Ga0.106In0.729Sn0.165,5.842865555555556
Ga0.523In0.431Sn0.046,4.996021111111119
Ga0.450In0.065Sn0.485,5.2461133333333345
Ga0.413In0.400Sn0.187,6.2804200000000066
Ga0.688In0.153Sn0.159,5.498450833333345
Ga0.453In0.278Sn0.269,6.08763000000001
Ga0.185In0.481Sn0.334,6.812904166666671
Ga0.196In0.602Sn0.202,6.505845277777783
Ga0.247In0.512Sn0.241,6.793891111111114
Ga0.284In0.322Sn0.394,6.207855833333342
Ga0.658In0.166Sn0.176,5.528545555555566
Ga0.533In0.094Sn0.373,5.249885555555561
Ga0.157In0.338Sn0.505,6.404328888888897
Ga0.397In0.073Sn0.530,5.416561388888888
Ga0.041In0.071Sn0.888,3.867564722222223
Ga0.679In0.158Sn0.163,5.502077222222233
Ga0.137In0.539Sn0.324,6.721793888888893
Ga0.341In0.253Sn0.406,6.070513055555564
Ga0.495In0.099Sn0.406,5.372595277777783
Ga0.425In0.151Sn0.424,5.650462222222229
Ga0.591In0.375Sn0.034,4.704932638888898
Ga0.059In0.861Sn0.080,4.747233611111114
Ga0.017In0.718Sn0.265,6.461973055555558
Ga0.341In0.141Sn0.518,5.694429722222228
Ga0.482In0.285Sn0.233,6.088264166666676
Ga0.475In0.450Sn0.075,5.273368055555561
Ga0.311In0.449Sn0.240,6.4178036111111165
Ga0.244In0.060Sn0.696,5.224643888888887
Ga0.643In0.084Sn0.273,5.219181111111118
Ga0.054In0.457Sn0.489,6.647525833333334
Ga0.285In0.536Sn0.179,6.406854166666672
Ga0.422In0.070Sn0.508,5.328791388888891
Ga0.071In0.246Sn0.683,5.233658888888902
Ga0.404In0.471Sn0.125,6.005755833333339
Ga0.409In0.401Sn0.190,6.253137777777785
Ga0.310In0.198Sn0.492,5.903949444444453
Ga0.168In0.523Sn0.309,6.779472777777779
Ga0.700In0.243Sn0.057,4.966376388888903
Ga0.461In0.013Sn0.526,5.17957138888889
Ga0.188In0.446Sn0.366,6.629356388888894
Ga0.325In0.104Sn0.571,5.548497500000005
Ga0.324In0.328Sn0.348,6.134541944444454
Ga0.211In0.558Sn0.231,6.589148055555559
Ga0.548In0.273Sn0.179,5.7719225000000085
Ga0.460In0.339Sn0.201,6.097062222222231
Ga0.410In0.363Sn0.227,6.241343611111119
Ga0.322In0.256Sn0.422,6.040388055555565
Ga0.362In0.099Sn0.539,5.512300000000004
Ga0.282In0.031Sn0.687,5.06872027777778
Ga0.404In0.544Sn0.052,5.270320694444451
Ga0.592In0.019Sn0.389,4.980233888888893
Ga0.264In0.343Sn0.393,6.328418055555566
Ga0.307In0.415Sn0.278,6.473473055555562
Ga0.378In0.491Sn0.131,6.163575833333338
Ga0.519In0.359Sn0.122,5.748022222222228
Ga0.553In0.183Sn0.264,5.6513508333333435
