formula,Predicted_Tc
Ga0.165In0.074Sn0.761,4.095109697746697
Ga0.256In0.495Sn0.249,5.81484202689903
Ga0.274In0.395Sn0.331,6.081774255226254
Ga0.159In0.424Sn0.417,6.348992329004334
Ga0.219In0.026Sn0.755,4.189436953638956
Ga0.482In0.501Sn0.017,3.2903794872164847
Ga0.284In0.340Sn0.376,5.440961636178633
Ga0.189In0.367Sn0.444,6.428571046953052
Ga0.150In0.538Sn0.312,6.3750777990897936
Ga0.215In0.195Sn0.590,5.135026080623083
Ga0.360In0.289Sn0.351,4.877213699670698
Ga0.376In0.530Sn0.094,4.299722066581568
Ga0.123In0.321Sn0.556,5.574412329004335
Ga0.007In0.476Sn0.517,7.015167619047623
Ga0.072In0.226Sn0.702,4.4533211111111175
Ga0.287In0.414Sn0.299,6.0729975030895
Ga0.305In0.307Sn0.388,5.075766080623078
Ga0.745In0.121Sn0.134,4.140873931799682
Ga0.546In0.014Sn0.440,4.315353240675993
Ga0.159In0.560Sn0.281,6.066936132423131
Ga0.384In0.407Sn0.209,4.949567979279982
Ga0.425In0.123Sn0.452,4.517916398083401
Ga0.283In0.291Sn0.426,5.397368302845306
Ga0.575In0.176Sn0.249,3.9788418476060987
Ga0.334In0.128Sn0.538,4.958126398083404
Ga0.108In0.205Sn0.687,4.778254868686875
Ga0.291In0.466Sn0.243,5.640762979279985
Ga0.236In0.308Sn0.456,5.491419413956419
Ga0.357In0.561Sn0.082,4.286298733248234
Ga0.390In0.174Sn0.436,4.691897969511972
Ga0.253In0.180Sn0.567,5.115558858400861
Ga0.235In0.543Sn0.222,5.5398614713434755
Ga0.366In0.317Sn0.317,4.902626947533946
Ga0.159In0.212Sn0.629,5.144804551226555
Ga0.294In0.007Sn0.699,4.569220286972293
Ga0.248In0.202Sn0.550,5.16114385840086
Ga0.201In0.191Sn0.608,5.152519413956416
Ga0.444In0.393Sn0.163,4.65032297927998
Ga0.145In0.601Sn0.254,5.858857402264403
Ga0.110In0.443Sn0.447,6.532329551226556
Ga0.323In0.468Sn0.209,5.262787979279984
Ga0.203In0.145Sn0.652,5.011763064750072
Ga0.150In0.402Sn0.448,6.487258995671
Ga0.382In0.344Sn0.274,4.831445836422842
Ga0.223In0.338Sn0.439,5.777911080623085
Ga0.370In0.271Sn0.359,4.648038858400855
Ga0.097In0.421Sn0.482,6.634077329004332
Ga0.638In0.335Sn0.027,3.1257927821669065
Ga0.438In0.076Sn0.486,4.6447858425278445
Ga0.260In0.265Sn0.475,5.277148302845306
Ga0.662In0.234Sn0.104,3.722215826899952
Ga0.703In0.164Sn0.133,3.690837424122172
Ga0.263In0.311Sn0.426,5.427290525067528
Ga0.049In0.397Sn0.554,6.553440793650798
Ga0.666In0.121Sn0.213,3.7498714426406923
Ga0.432In0.264Sn0.304,4.497659725311721
Ga0.476In0.382Sn0.142,4.600418713406964
Ga0.167In0.320Sn0.513,5.69924493584194
Ga0.476In0.257Sn0.267,4.25394569753395
Ga0.458In0.357Sn0.185,4.806922284835538
Ga0.410In0.436Sn0.154,4.686027423724425
Ga0.475In0.338Sn0.187,4.466866173724427
Ga0.408In0.205Sn0.387,4.383395747289745
Ga0.027In0.438Sn0.535,6.649179126984132
Ga0.290In0.458Sn0.252,5.690027503089508
Ga0.716In0.270Sn0.014,3.263945585738333
Ga0.364In0.063Sn0.573,4.726556398083402
Ga0.361In0.226Sn0.413,4.664208302845305
Ga0.211In0.135Sn0.654,5.0001663980834055
Ga0.352In0.301Sn0.347,4.898252588559586
Ga0.543In0.416Sn0.041,3.653487589970213
Ga0.378In0.401Sn0.221,5.021379090391093
Ga0.589In0.373Sn0.038,3.116256970201094
Ga0.342In0.534Sn0.124,4.795717899914899
Ga0.447In0.356Sn0.197,4.828157979279982
Ga0.321In0.229Sn0.450,4.971903302845305
Ga0.812In0.162Sn0.026,4.019407806836682
Ga0.059In0.577Sn0.364,6.507379841269835
Ga0.446In0.170Sn0.384,4.26965241395641
Ga0.167In0.441Sn0.392,6.244122158064154
Ga0.364In0.349Sn0.287,5.194612503089503
Ga0.450In0.289Sn0.261,4.477831947533951
Ga0.240In0.275Sn0.485,5.397079413956416
Ga0.540In0.297Sn0.163,4.143886441581567
Ga0.419In0.310Sn0.271,4.4882819475339515
Ga0.673In0.060Sn0.267,3.6387627857420344
Ga0.424In0.198Sn0.378,4.388629080623078
Ga0.330In0.133Sn0.537,4.9568363980834045
Ga0.085In0.341Sn0.574,5.901388015873022
Ga0.588In0.144Sn0.268,3.7485294666537174
Ga0.266In0.045Sn0.689,4.555040286972291
Ga0.267In0.298Sn0.435,5.397368302845306
Ga0.105In0.329Sn0.566,5.911399551226557
Ga0.399In0.306Sn0.295,4.8053325030895016
Ga0.326In0.386Sn0.288,6.022425280867279
Ga0.041In0.458Sn0.501,6.842045238095241
Ga0.380In0.087Sn0.533,4.699914731416734
Ga0.499In0.322Sn0.179,4.2590617292799795
Ga0.277In0.298Sn0.425,5.3907016361786395
Ga0.393In0.181Sn0.426,4.7256335250675265
Ga0.250In0.014Sn0.736,4.228263620305622
Ga0.457In0.296Sn0.247,4.4509583959466505
Ga0.485In0.258Sn0.257,4.260019030867283
Ga0.020In0.265Sn0.715,4.5277922222222315
Ga0.339In0.114Sn0.547,4.955959731416737
Ga0.454In0.042Sn0.504,4.697779870305624
Ga0.191In0.483Sn0.326,6.393873269175264
Ga0.698In0.108Sn0.194,3.743194275974026
Ga0.602In0.389Sn0.009,3.1224692778934013
Ga0.212In0.447Sn0.341,6.121712033004031
Ga0.415In0.351Sn0.234,5.156509645946651
