formula,Tc
Tl0.5Pb0.5Sr2Ca0.9Y0.1Cu2O7,99.300
Y1Ba1.975La0.025Cu3O6.95,99.000
Y1Ba1.95La0.05Cu3O6.9,99.000
Y1Ba1.925La0.075Cu3O6.9,99.000
Sr2Ca1Cu2F2O4.6,99.000
Sr2Ca1Cu2F2O4.6,99.000
Sr0.7Ca0.3Cu1O2,99.000
Sr0.7Ca0.3Cu1O2,99.000
Bi2Sr2Ca1Cu2O8,99.000
Tl2Ba2Ca0.9Ce0.1Cu1.98Fe0.02O8,99.000
C0.3Ba2Ca4Cu5.7O12.8,99.000
Tl0.25Li0.25Ba2Ca2Cu2.25Si1.25O7.719,99.000
Bi2Sr2Ca1Cu2O8,98.000
Sr0.6Ca0.333Cu1O2.2,98.000
Hg1Ba2Cu1O4.09,98.000
Hg1Ba2Cu1O4.12,98.000
Hg1Ba2Ca1Cu2O6.31,98.000
Hg1Ba2Ca2Cu3O8.17,98.000
Hg1Ba2Cu1O4.081,98.000
V0.5Sr2.25Ca1.75Cu3.5O9.7,98.000
Sr1.4Ba0.6Cu1O3.4,98.000
Cu1Cr0.9Fe0.1O2,98.000
Tl1Ba2Ca0.8Y0.2Cu2O7,97.600
Hg1Ba2Cu1O4.162,97.400
Hg1Ba2Cu1O4.15,97.200
Y1Ba2Cu3O6.94,97.000
Tl1Ba1Sr1Ca2Cu3O9,97.000
Hg1Ba2Cu1O4.09,97.000
Bi1.6Pb0.4Sr2Ca2Cu3O10.15,97.000
Hg0.95Re0.05Ba2Cu1O4.372,97.000
Hg1Ba2Cu1O4.18,97.000
Hg1Ba2Cu1O4.22,97.000
Hg1Ba2Cu1O4.23,97.000
Hg1Ba2Cu1O4.13,97.000
Y1Ba2Cu3O6.69,97.000
Hg1Ba2Cu1F1O4,97.000
Hg1Ba2Cu1F1O4,97.000
Hg1Ba2Cu1O4,97.000
Hg1Ba2Cu1O4,97.000
Hg0.9Re0.1Ba2Cu1O4.425,96.800
Hg1Ba2Cu1O4.15,96.800
Hg1Ba2Cu1O4.18,96.600
Hg0.92Ba2.05Cu1.03O4.062,96.500
Tl1Ba2Ca0.8Nd0.2Cu2O7,96.300
Hg0.85Re0.15Ba2Cu1O4.525,96.300
Hg0.85Re0.15Ba2Cu1O4.53,96.300
Gd1Ba2Cu3O7,96.200
