formula,Tc
Tl0.5Pb0.5Sr2Ca0.9Y0.1Cu2O7,135.8
Y1Ba1.975La0.025Cu3O6.95,135.4
Y1Ba1.95La0.05Cu3O6.9,135
Y1Ba1.925La0.075Cu3O6.9,135
Sr2Ca1Cu2F2O4.6,135
Sr2Ca1Cu2F2O4.6,134.7
Sr0.7Ca0.3Cu1O2,134.2
Sr0.7Ca0.3Cu1O2,134
Bi2Sr2Ca1Cu2O8,134
Tl2Ba2Ca0.9Ce0.1Cu1.98Fe0.02O8,134
C0.3Ba2Ca4Cu5.7O12.8,134
Tl0.25Li0.25Ba2Ca2Cu2.25Si1.25O7.719,134
Bi2Sr2Ca1Cu2O8,133.4
Sr0.6Ca0.333Cu1O2.2,133
Hg1Ba2Cu1O4.09,133
Hg1Ba2Cu1O4.12,133
Hg1Ba2Ca1Cu2O6.31,132.9
Hg1Ba2Ca2Cu3O8.17,132.9
Hg1Ba2Cu1O4.081,132
V0.5Sr2.25Ca1.75Cu3.5O9.7,132
Sr1.4Ba0.6Cu1O3.4,132
Cu1Cr0.9Fe0.1O2,132
Tl1Ba2Ca0.8Y0.2Cu2O7,131.3
Hg1Ba2Cu1O4.162,130.3
Hg1Ba2Cu1O4.15,130
Y1Ba2Cu3O6.94,130
Tl1Ba1Sr1Ca2Cu3O9,130
Hg1Ba2Cu1O4.09,129
Bi1.6Pb0.4Sr2Ca2Cu3O10.15,128.7
Hg0.95Re0.05Ba2Cu1O4.372,128
Hg1Ba2Cu1O4.18,128
Hg1Ba2Cu1O4.22,128
Hg1Ba2Cu1O4.23,127
Hg1Ba2Cu1O4.13,127
Y1Ba2Cu3O6.69,127
Hg1Ba2Cu1F1O4,127
Hg1Ba2Cu1F1O4,127
Hg1Ba2Cu1O4,126
Hg1Ba2Cu1O4,125
Hg0.9Re0.1Ba2Cu1O4.425,125
Hg1Ba2Cu1O4.15,125
Hg1Ba2Cu1O4.18,125
Hg0.92Ba2.05Cu1.03O4.062,124.5
Tl1Ba2Ca0.8Nd0.2Cu2O7,124
Hg0.85Re0.15Ba2Cu1O4.525,124
Hg0.85Re0.15Ba2Cu1O4.53,124
Gd1Ba2Cu3O7,123
Yb1Ba2Cu3O7,123
Y1Ba1.9La0.1Cu3O7,122.1
Gd1Ba2Cu3O7,122
Hg1Ba2Cu1O4.09,122
Hg0.8V0.2Ba2Cu1O4.3,122
Nd1Ba2Cu3O7,121
Hg1Ba2Cu1O4.08,121
Hg1Ba2Cu1O4.08,121
Hg0.95Re0.05Ba2Cu1O4.37,121
Hg1Ba2Cu1O4,120
Sm1Ba2Cu3O7,120
Y0.8Ba2Cu3O6.44,120
Hg1Ba2Cu1F1O4,120
Hg1Ba2Cu1O4,120
Bi2Sr2.1Y0.1Ca0.8Cu2O8.26,120
Y1.1Ba2Cu3O6.87,119.95
Tl1Ba2Ca0.6Y0.4Cu2O7,119
Gd1Ba2Cu3O7,119
Hg1Ba2Cu1O4.096,119
Sm1Ba2Cu3O7,118.5
Tl1Ba2Ca0.7Nd0.3Cu2O7,118.5
Y1Ba2Cu3O7,118
Nd1Ba2Cu3O7.16,118
Hg1Ba2Cu1O4.097,118
Bi2Sr2.08Ca0.92Cu2O8,118
Eu1Ba2Cu3O7,118
Y1Ba2Cu3O6.91,118
Y1Ba2Cu3O6.87,118
Dy1Ba2Cu3O7,118
Nd1Ba2Cu3O7,118
Y1Ba2Cu3O6.9,118
Y1Ba1.9La0.1Cu3O6.9,117.6
Y1Ba2Cu3O6.94,117.5
Y1Ba2Cu3O7,117.5
Bi2Sr2Ca2Cu4O11,117
Tl2Ba2Ca1Cu2O7.978,117
Tl2Ba2Ca1Cu2O7.978,117
Ho1Ba2Cu3O7,116.7
Eu1Ba2Cu3O7,116.3
Tl1Ba2Cu1O5,116
Hg0.8Cr0.2Ba2Ca2Cu3O8.1,116
Nd1Ba2Cu3O6.82,116
Hg0.9Re0.1Ba2Cu1O4.42,115.7
Bi2Sr2Ca1Cu2O8,115.5
Hg1Ba2Cu1O4.18,115.1
Hg1Ba2Cu1O4.19,115
Sm1Ba2Cu3O6.95,115
Hg1Ba2Cu1O4.047,115
Tl0.5Ba2Ca1.3Be0.7Cu3.5O7.886,115
Sr2Cu1O3.4,115
Sr2Ca3Cu4F3.8O8,115
Eu1Ba2Cu3O7.1,115
Y2Ba4Cu7O14,115
Hg0.85Re0.15Ba2Cu1O4.52,115
Eu1Ba2Cu3O6.97,115
Er1Ba2Cu3O6.87,115
Y0.975Ca0.025Ba2Cu2.975Al0.025O6.89,115
Y1Ba2Cu3H0.2O6.98,115
Nd1Ba2Cu3O7,115
Hg0.9Re0.1Ba2Cu1O4.41,114.3
Nd1Ba2Cu3O7,114.1
Y1Ba2Cu2.95Co0.05O6.92,114
Y1Ba2Cu3O7,114
Bi8Sr8Ca4Cu9O34.16,114
Y2Ba4Cu7O14,114
Hg1Ba2Cu1O4.2,114
Gd1Ba2Cu3O6.98,114
Bi2Sr2.4Ca0.6Cu2O8,113.5
Y1Ba2Cu3O6.9,113.1
Hg1Ba2Cu1O4.1,113
Eu1Ba2Cu3O6.88,113
