formula,Tc,type
Ca0.92Cu0.76O1.31Pb1.51Sr3.22Tl2.14,100.0,original
Ba1.7Cu1.39O1.3Y2.04,99.0,original
Ba1.67Cu1.39O1.28Y2.04,99.0,original
Ba1.64Cu1.39O1.28Y2.04,99.0,original
Ca1.05Cu0.76F10.35O0.64Sr3.22,99.0,original
Ca1.05Cu0.76F10.35O0.64Sr3.22,99.0,original
Ca0.18Cu0.13Sr0.93,99.0,original
Ca0.18Cu0.13Sr0.93,99.0,original
Bi3.16Ca1.05Cu0.76O1.59Sr3.22,99.0,original
Ba1.72Ca0.92Ce0.41Cu0.75O1.59Tl8.96,99.0,original
Ba1.72Ca4.78Cu3.09O2.93,99.0,original
Ba1.72Ca2.29Cu0.92Li1.73O1.51Si0.33Tl,99.0,original
Bi3.16Ca1.05Cu0.76O1.59Sr3.22,98.0,original
Ca0.22Cu0.13Sr0.75,98.0,original
Ba1.72Cu0.13Hg7.24O0.5,98.0,original
Ba1.72Cu0.13Hg7.24O0.51,98.0,original
Ba1.72Ca1.05Cu0.76Hg7.24O1.12,98.0,original
Ba1.72Ca2.29Cu1.39Hg7.24O1.64,98.0,original
Ba1.72Cu0.13Hg7.24O0.5,98.0,original
Ca1.98Cu1.71O2.07Sr3.66V0.34,98.0,original
Ba0.21Cu0.13O0.31Sr2.16,98.0,original
Cr0.43Cu0.13,98.0,original
Ba1.72Ca0.8Cu0.76O1.31Tl4.41Y0.13,98.0,original
Ba1.72Cu0.13Hg7.24O0.52,98.0,original
Ba1.72Cu0.13Hg7.24O0.52,98.0,original
Ba1.72Cu1.39O1.3Y2.04,97.0,original
Ba0.64Ca2.29Cu1.39O1.87Sr1.46Tl4.41,97.0,original
Ba1.72Cu0.13Hg7.24O0.5,97.0,original
Bi2.49Ca2.29Cu1.39O2.19Pb1.18Sr3.22,97.0,original
Ba1.72Cu0.13Hg6.88O0.58,97.0,original
Ba1.72Cu0.13Hg7.24O0.53,97.0,original
Ba1.72Cu0.13Hg7.24O0.54,97.0,original
Ba1.72Cu0.13Hg7.24O0.54,97.0,original
Ba1.72Cu0.13Hg7.24O0.51,97.0,original
Ba1.72Cu1.39O1.23Y2.04,97.0,original
Ba1.72Cu0.13F5.12Hg7.24O0.48,97.0,original
Ba1.72Cu0.13F5.12Hg7.24O0.48,97.0,original
Ba1.72Cu0.13Hg7.24O0.48,97.0,original
Ba1.72Cu0.13Hg7.24O0.48,97.0,original
Ba1.72Cu0.13Hg6.51O0.59,97.0,original
Ba1.72Cu0.13Hg7.24O0.52,97.0,original
Ba1.72Cu0.13Hg7.24O0.53,97.0,original
Ba1.78Cu0.15Hg6.66O0.49,97.0,original
Ba1.72Ca0.8Cu0.76Nd0.84O1.31Tl4.41,97.0,original
Ba1.72Cu0.13Hg6.14O0.62Re0.17,97.0,original
Ba1.72Cu0.13Hg6.14O0.62Re0.17,97.0,original
Ba1.72Cu1.39Gd8.95O1.31,97.0,original
Ba1.72Cu1.39O1.31Yb9.91,97.0,original
Ba1.61Cu1.39O1.31Y2.04,97.0,original
Ba1.72Cu1.39Gd8.95O1.31,96.0,original
Ba1.72Cu0.13Hg7.24O0.5,96.0,original
Ba1.72Cu0.13Hg5.77O0.56V0.1,96.0,original
Ba1.72Cu1.39Nd4.84O1.31,96.0,original
Ba1.72Cu0.13Hg7.24O0.5,96.0,original
Ba1.72Cu0.13Hg7.24O0.5,96.0,original
Ba1.72Cu0.13Hg6.88O0.58,96.0,original
Ba1.72Cu0.13Hg7.24O0.48,96.0,original
Ba1.72Cu1.39O1.31Sm6.8,96.0,original
Ba1.72Cu1.39O1.16Y1.56,96.0,original
Ba1.72Cu0.13F5.12Hg7.24O0.48,96.0,original
Ba1.72Cu0.13Hg7.24O0.48,96.0,original
Bi3.16Ca0.8Cu0.76O1.66Sr3.4,96.0,original
Ba1.72Cu1.39O1.28Y2.28,96.0,original
Ba1.72Ca0.55Cu0.76O1.31Tl4.41Y0.61,96.0,original
Ba1.72Cu1.39Gd8.95O1.31,96.0,original
Ba1.72Cu0.13Hg7.24O0.5,96.0,original
Ba1.72Cu1.39O1.31Sm6.8,96.0,original
Ba1.72Ca0.68Cu0.76Nd1.34O1.31Tl4.41,96.0,original
Ba1.72Cu1.39O1.31Y2.04,96.0,original
Ba1.72Cu1.39Nd4.84O1.36,96.0,original
Ba1.72Cu0.13Hg7.24O0.5,96.0,original
Bi3.16Ca0.95Cu0.76O1.59Sr3.36,96.0,original
Ba1.72Cu1.39Eu6.81O1.31,96.0,original
Ba1.72Cu1.39O1.29Y2.04,96.0,original
Ba1.72Cu1.39O1.28Y2.04,96.0,original
Ba1.72Cu1.39Dy10.45O1.31,96.0,original
Ba1.72Cu1.39Nd4.84O1.31,96.0,original
Ba1.72Cu1.39O1.28Y2.04,95.0,original
Ba1.61Cu1.39O1.28Y2.04,95.0,original
Ba1.72Cu1.39O1.3Y2.04,95.0,original
Ba1.72Cu1.39O1.31Y2.04,95.0,original
Bi3.16Ca2.29Cu2.02O2.43Sr3.22,95.0,original
Ba1.72Ca1.05Cu0.76O1.59Tl8.96,95.0,original
Ba1.72Ca1.05Cu0.76O1.59Tl8.96,95.0,original
