formula,Tc
Mg1B2,40.5
Mg1B2,40.36
Mg1B2,40.25
Mg1B2,40.23
Mg1B2,40.21
Mg1B2,40.2
Mg1B2,40.2
Mg1B2,40
Mg1B2,40
Mg1B2,39.8
Mg1B2,39.6
Mg1B2,39.5
Mg1B2,39.5
Mg1B2,39.5
Mg1B2,39.4
Mg1B2,39.4
Mg1B2,39.36
Mg1B2,39.3
Mg1B2,39.3
Mg1B2,39.2
Mg1B2,39.2
Mg1B2,39.2
Mg1B2,39.2
Mg1B2,39.2
Mg1B2,39.1
Mg1B2,39.1
Mg1B2,39
Mg1B2,39
Mg1B2,39
Mg1B2,39
Mg1B2,39
Mg1B2,39
Mg1B2,39
Mg1B2,39
Mg1B2,39
Mg1B2,39
Mg1B2,39
Mg1B2,39
Mg1B2,39
Mg1B2,39
Mg1B2,39
Mg1B2,39
Mg1B2,39
Mg1B2,39
Mg1B2,39
Mg1B2,39
Mg1B2,39
Mg1B2,39
Mg1B2,39
Mg1B2,39
Mg1B2,39
Mg1B2,39
Mg1B2,39
Mg1B2,38.9
Mg1B2,38.81
Mg1B2,38.81
Mg1B2,38.8
Mg1B2,38.8
Mg1B2,38.8
Mg1B2,38.8
Mg1B2,38.73
Mg1B2,38.7
Mg1B2,38.7
Mg1B2,38.7
Mg1B2,38.7
Mg1B2,38.7
Mg1B2,38.7
Mg1B2,38.7
Mg1B2,38.7
Mg1B2,38.6
Mg1B2,38.6
Mg1B2,38.6
Mg1B2,38.6
Mg1B2,38.6
Mg1B2,38.6
Mg1B2,38.6
Mg1B2,38.6
Mg1B2,38.6
Mg1B2,38.6
Mg1B2,38.5
Mg1B2,38.5
Mg1B2,38.5
Mg1B2,38.5
Mg1B2,38.5
Mg1B2,38.5
Mg1B2,38.5
Mg1B2,38.5
Mg1B2,38.4
Mg1B2,38.4
Mg1B2,38.3
Mg1B2,38.3
Mg1B2,38.3
Mg1B2,38.3
Mg1B2,38.3
Mg1B2,38.3
Mg1B2,38.3
Mg1B2,38.3
Mg1B2,38.2
Mg1B2,38.2
Mg1B2,38.2
Mg1B2,38.2
Mg1B2,38.2
Mg1B2,38.2
Mg1B2,38.2
Mg1B2,38.2
Mg1B2,38.2
Mg1B2,38.14
Mg1B2,38.1
Mg1B2,38
Mg1B2,38
Mg1B2,38
Mg1B2,38
Mg1B2,38
Mg1B2,38
Mg1B2,38
Mg1B2,38
Mg1B2,38
Mg1B2,38
Mg1B2,38
Mg1B2,38
Mg1B2,38
Mg1B2,38
Mg1B2,38
Mg1B2,37.9
Mg1B2,37.8
Mg1B2,37.6
Mg1B2,37.6
Mg1B2,37.6
Mg1B2,37.5
Mg1B2,37.5
Mg1B2,37.5
Mg1B2,37.5
Mg1B2,37.5
Mg1B2,37.4
Mg1B2,37.3
Mg1B2,37.3
Mg1B2,37
Mg1B2,37
Mg1B2,37
Mg1B2,37
Mg1B2,36.6
Mg1B2,36.6
Mg1B2,36.5
Mg1B2,36
Mg1B2,36
Mg1B2,33
Mg1B2,31
Mg1B2,30.4
Mg1B2,22.8
Mg1B2,17.1
Mg1B2,13.6
Mg1B2,8.13
Mg1B2,5
Y1Ba2Cu3O7,95.5
Y1Ba2Cu3O7,95
Y1Ba2Cu3O7,94.3
Y1Ba2Cu3O7,94
Y1Ba2Cu3O7,93.4
Y1Ba2Cu3O7,93.15
Y1Ba2Cu3O7,93
Y1Ba2Cu3O7,93
Y1Ba2Cu3O7,93
Y1Ba2Cu3O7,93
Y1Ba2Cu3O7,93
Y1Ba2Cu3O7,93
Y1Ba2Cu3O7,93
Y1Ba2Cu3O7,92.83
Y1Ba2Cu3O7,92.5
Y1Ba2Cu3O7,92.5
Y1Ba2Cu3O7,92.5
Y1Ba2Cu3O7,92.3
Y1Ba2Cu3O7,92.12
Y1Ba2Cu3O7,92.1
Y1Ba2Cu3O7,92.1
Y1Ba2Cu3O7,92.1
Y1Ba2Cu3O7,92.1
Y1Ba2Cu3O7,92.03
Y1Ba2Cu3O7,92
Y1Ba2Cu3O7,92
Y1Ba2Cu3O7,92
Y1Ba2Cu3O7,92
Y1Ba2Cu3O7,92
Y1Ba2Cu3O7,92
Y1Ba2Cu3O7,92
Y1Ba2Cu3O7,92
Y1Ba2Cu3O7,92
Y1Ba2Cu3O7,92
Y1Ba2Cu3O7,92
Y1Ba2Cu3O7,92
Y1Ba2Cu3O7,92
Y1Ba2Cu3O7,92
Y1Ba2Cu3O7,92
Y1Ba2Cu3O7,92
Y1Ba2Cu3O7,92
Y1Ba2Cu3O7,92
Y1Ba2Cu3O7,92
Y1Ba2Cu3O7,92
Y1Ba2Cu3O7,92
Y1Ba2Cu3O7,92
Y1Ba2Cu3O7,92
Y1Ba2Cu3O7,92
Y1Ba2Cu3O7,91.95
Y1Ba2Cu3O7,91.85
Y1Ba2Cu3O7,91.8
Y1Ba2Cu3O7,91.7
Y1Ba2Cu3O7,91.6
Y1Ba2Cu3O7,91.6
Y1Ba2Cu3O7,91.6
Y1Ba2Cu3O7,91.5
Y1Ba2Cu3O7,91.5
Y1Ba2Cu3O7,91.5
Y1Ba2Cu3O7,91.4
Y1Ba2Cu3O7,91.4
Y1Ba2Cu3O7,91.4
Y1Ba2Cu3O7,91.4
Y1Ba2Cu3O7,91.3
Y1Ba2Cu3O7,91.2
Y1Ba2Cu3O7,91.2
Y1Ba2Cu3O7,91.15
Y1Ba2Cu3O7,91.1
Y1Ba2Cu3O7,91.06
Y1Ba2Cu3O7,91
Y1Ba2Cu3O7,91
Y1Ba2Cu3O7,91
Y1Ba2Cu3O7,91
Y1Ba2Cu3O7,91
Y1Ba2Cu3O7,91
Y1Ba2Cu3O7,91
Y1Ba2Cu3O7,91
Y1Ba2Cu3O7,90.85
Y1Ba2Cu3O7,90.7
Y1Ba2Cu3O7,90.7
Y1Ba2Cu3O7,90.6
Y1Ba2Cu3O7,90.5
Y1Ba2Cu3O7,90.5
Y1Ba2Cu3O7,90.5
Y1Ba2Cu3O7,90.5
Y1Ba2Cu3O7,90.5
Y1Ba2Cu3O7,90.3
Y1Ba2Cu3O7,90.25
Y1Ba2Cu3O7,90.2
Y1Ba2Cu3O7,90.2
Y1Ba2Cu3O7,90.2
Y1Ba2Cu3O7,90.1
Y1Ba2Cu3O7,90
Y1Ba2Cu3O7,90
Y1Ba2Cu3O7,90
Y1Ba2Cu3O7,90
Y1Ba2Cu3O7,90
Y1Ba2Cu3O7,90
Y1Ba2Cu3O7,90
Y1Ba2Cu3O7,90
Y1Ba2Cu3O7,90
Y1Ba2Cu3O7,90
Y1Ba2Cu3O7,89.9
Y1Ba2Cu3O7,89.9
Y1Ba2Cu3O7,89.9
Y1Ba2Cu3O7,89.9
Y1Ba2Cu3O7,89.8
Y1Ba2Cu3O7,89.7
Y1Ba2Cu3O7,89.66
Y1Ba2Cu3O7,89.4
Y1Ba2Cu3O7,89
Y1Ba2Cu3O7,89
Y1Ba2Cu3O7,89
Y1Ba2Cu3O7,89
Y1Ba2Cu3O7,89
Y1Ba2Cu3O7,88.9
Y1Ba2Cu3O7,88.3
Y1Ba2Cu3O7,88
Y1Ba2Cu3O7,88
Y1Ba2Cu3O7,87.8
Y1Ba2Cu3O7,87.5
Y1Ba2Cu3O7,87.5
Y1Ba2Cu3O7,87.5
Y1Ba2Cu3O7,87.5
Y1Ba2Cu3O7,87
Y1Ba2Cu3O7,86.7
Y1Ba2Cu3O7,86.6
Y1Ba2Cu3O7,86.4
Y1Ba2Cu3O7,86
Y1Ba2Cu3O7,86
Y1Ba2Cu3O7,86
Y1Ba2Cu3O7,85.5
Y1Ba2Cu3O7,85
Y1Ba2Cu3O7,85
Y1Ba2Cu3O7,83
Y1Ba2Cu3O7,83
Y1Ba2Cu3O7,82
Y1Ba2Cu3O7,80
Y1Ba2Cu3O7,50
La1.85Sr0.15Cu1O4,45.3
La1.85Sr0.15Cu1O4,44
La1.85Sr0.15Cu1O4,44
La1.85Sr0.15Cu1O4,43
La1.85Sr0.15Cu1O4,42
La1.85Sr0.15Cu1O4,40
La1.85Sr0.15Cu1O4,39.3
La1.85Sr0.15Cu1O4,39.2
La1.85Sr0.15Cu1O4,39
La1.85Sr0.15Cu1O4,39
La1.85Sr0.15Cu1O4,39
La1.85Sr0.15Cu1O4,39
La1.85Sr0.15Cu1O4,38.9
La1.85Sr0.15Cu1O4,38.4
La1.85Sr0.15Cu1O4,38.1
La1.85Sr0.15Cu1O4,38
La1.85Sr0.15Cu1O4,38
La1.85Sr0.15Cu1O4,38
La1.85Sr0.15Cu1O4,38
La1.85Sr0.15Cu1O4,38
La1.85Sr0.15Cu1O4,38
La1.85Sr0.15Cu1O4,38
La1.85Sr0.15Cu1O4,38
La1.85Sr0.15Cu1O4,38
La1.85Sr0.15Cu1O4,38
La1.85Sr0.15Cu1O4,38
La1.85Sr0.15Cu1O4,38
La1.85Sr0.15Cu1O4,37.94
La1.85Sr0.15Cu1O4,37.94
La1.85Sr0.15Cu1O4,37.8
La1.85Sr0.15Cu1O4,37.8
La1.85Sr0.15Cu1O4,37.8
La1.85Sr0.15Cu1O4,37.5
La1.85Sr0.15Cu1O4,37.5
La1.85Sr0.15Cu1O4,37.43
La1.85Sr0.15Cu1O4,37.4
La1.85Sr0.15Cu1O4,37.1
La1.85Sr0.15Cu1O4,37.1
La1.85Sr0.15Cu1O4,37
La1.85Sr0.15Cu1O4,37
La1.85Sr0.15Cu1O4,37
La1.85Sr0.15Cu1O4,37
La1.85Sr0.15Cu1O4,37
La1.85Sr0.15Cu1O4,37
La1.85Sr0.15Cu1O4,37
La1.85Sr0.15Cu1O4,37
La1.85Sr0.15Cu1O4,37
La1.85Sr0.15Cu1O4,37
La1.85Sr0.15Cu1O4,37
La1.85Sr0.15Cu1O4,37
La1.85Sr0.15Cu1O4,37
La1.85Sr0.15Cu1O4,37
La1.85Sr0.15Cu1O4,37
La1.85Sr0.15Cu1O4,37
La1.85Sr0.15Cu1O4,37
La1.85Sr0.15Cu1O4,36.8
La1.85Sr0.15Cu1O4,36.7
La1.85Sr0.15Cu1O4,36.7
La1.85Sr0.15Cu1O4,36.5
La1.85Sr0.15Cu1O4,36.5
La1.85Sr0.15Cu1O4,36.4
La1.85Sr0.15Cu1O4,36.1
La1.85Sr0.15Cu1O4,36
La1.85Sr0.15Cu1O4,36
La1.85Sr0.15Cu1O4,36
La1.85Sr0.15Cu1O4,36
La1.85Sr0.15Cu1O4,36
La1.85Sr0.15Cu1O4,36
La1.85Sr0.15Cu1O4,36
La1.85Sr0.15Cu1O4,36
La1.85Sr0.15Cu1O4,36
La1.85Sr0.15Cu1O4,36
La1.85Sr0.15Cu1O4,35.8
La1.85Sr0.15Cu1O4,35.7
La1.85Sr0.15Cu1O4,35.6
La1.85Sr0.15Cu1O4,35.5
La1.85Sr0.15Cu1O4,35.45
La1.85Sr0.15Cu1O4,35.3
La1.85Sr0.15Cu1O4,35.3
La1.85Sr0.15Cu1O4,35.2
La1.85Sr0.15Cu1O4,35.1
La1.85Sr0.15Cu1O4,35.1
La1.85Sr0.15Cu1O4,35
La1.85Sr0.15Cu1O4,35
La1.85Sr0.15Cu1O4,35
La1.85Sr0.15Cu1O4,35
La1.85Sr0.15Cu1O4,35
La1.85Sr0.15Cu1O4,35
La1.85Sr0.15Cu1O4,35
La1.85Sr0.15Cu1O4,35
La1.85Sr0.15Cu1O4,34.7
La1.85Sr0.15Cu1O4,34.5
La1.85Sr0.15Cu1O4,34.4
La1.85Sr0.15Cu1O4,34.4
La1.85Sr0.15Cu1O4,34
La1.85Sr0.15Cu1O4,33
La1.85Sr0.15Cu1O4,32.5
La1.85Sr0.15Cu1O4,32
La1.85Sr0.15Cu1O4,31.6
La1.85Sr0.15Cu1O4,31.6
La1.85Sr0.15Cu1O4,31.4
La1.85Sr0.15Cu1O4,31.4
La1.85Sr0.15Cu1O4,30.5
La1.85Sr0.15Cu1O4,30
La1.85Sr0.15Cu1O4,28.6
La1.85Sr0.15Cu1O4,28.6
La1.85Sr0.15Cu1O4,27.5
La1.85Sr0.15Cu1O4,27
La1.85Sr0.15Cu1O4,27
La1.85Sr0.15Cu1O4,25
La1.85Sr0.15Cu1O4,23
Y1Ba2Cu4O8,83
Y1Ba2Cu4O8,82.9
Y1Ba2Cu4O8,82.5
Y1Ba2Cu4O8,82
Y1Ba2Cu4O8,82
